Timestamp,"Concorda que está suficientemente informado(a) a respeito da pesquisa que será realizada e concorda de livre e espontânea vontade em participar, como participante ?",Qual o seu curso de graduação? (UFCG - Polo na Sede),Aspectos relacionados à disciplina [Relevância desta disciplina para o desenvolvimento profissional/pessoal.],Aspectos relacionados à disciplina [Relação desta disciplina com as demais do curso.],Aspectos relacionados à disciplina [Organização do plano da disciplina.],Aspectos relacionados à disciplina [Indicação de textos e de outros materiais de estudo.],Aspectos relacionados à disciplina [Contribuição da disciplina para o desenvolvimento da sua capacidade de aprender e atualizar-se permanentemente.],Aspectos relacionados à disciplina [Contribuição da disciplina para suprir as necessidades básicas computacionais requeridas para minha formação.],Ação de ensino do professor [Clareza no desenvolvimento do conteúdo.],Ação de ensino do professor [Procedimentos didáticos.],Ação de ensino do professor [Reflexão sobre os resultados da atividades de avaliação desta disciplina.],Ação de ensino do professor [Contribuição para um ambiente favorável à aprendizagem.],Ação de ensino do professor [Aproveitamento do tempo da aula.],Autoavaliação dos alunos [Utilização dos materiais de estudo indicados.],Autoavaliação dos alunos [Motivação para aprender mais.],Autoavaliação dos alunos [Contribuição como aluno para um ambiente favorável à aprendizagem.],Autoavaliação dos alunos [Contribuição da turma para um ambiente favorável à aprendizagem..],Alguma crítica que queira mencionar ao processo de aprendizagem desta disciplina? Forneça apenas comentários que motivem mudanças.,Você pode destacar algo que percebeu como positivo para o seu aprendizado durante o processo de aprendizagem na disciplina?
5/26/2020 15:13:37,Sim,ENGENHARIA CIVIL - Diurno,Muito satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Mais ou menos satisfeito,Muito satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,,
5/26/2020 15:38:09,Sim,ENGENHARIA CIVIL - Diurno,Mais ou menos satisfeito,Mais ou menos satisfeito,Muito satisfeito,Muito satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,,
5/26/2020 15:41:01,Sim,ENGENHARIA CIVIL - Diurno,Mais ou menos satisfeito,Mais ou menos insatisfeito,Mais ou menos insatisfeito,Mais ou menos insatisfeito,"Nem satisfeito, nem insatisfeito","Nem satisfeito, nem insatisfeito",Muito satisfeito,Muito satisfeito,"Nem satisfeito, nem insatisfeito",Muito satisfeito,Muito satisfeito,"Nem satisfeito, nem insatisfeito","Nem satisfeito, nem insatisfeito",Mais ou menos satisfeito,Mais ou menos satisfeito,Poderia focar mais em assuntos e programas de maior uso no curso.,uso do excel.
5/26/2020 15:47:33,Sim,ENGENHARIA CIVIL - Diurno,Mais ou menos satisfeito,"Nem satisfeito, nem insatisfeito","Nem satisfeito, nem insatisfeito",Mais ou menos insatisfeito,"Nem satisfeito, nem insatisfeito",Mais ou menos satisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,"Nem satisfeito, nem insatisfeito","Nem satisfeito, nem insatisfeito",Mais ou menos satisfeito,Mais ou menos satisfeito,"A mudança de professor seria algo agradável, tive o desprazer de cursar essa disciplina com o professor x, um ser desprovido de respeito e provido de ignorância, não era imparcial com as notas e ainda fazia questão de humilhar os alunos, como se ele fosse melhor do que um qualquer um de nós. Os comentários que corriam era que o departamento encarregava os piores professores para ministrar essa disciplina, já que era algo básico e o prejuízo seria recuperado pelos próprios alunos.",O laboratório novo e impecável
5/26/2020 17:56:40,Sim,ENGENHARIA CIVIL - Diurno,Mais ou menos satisfeito,Mais ou menos insatisfeito,Muito satisfeito,Mais ou menos satisfeito,Muito insatisfeito,Muito satisfeito,Mais ou menos satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Mais ou menos satisfeito,Muito satisfeito,Muito satisfeito,,
5/26/2020 17:57:46,Sim,ENGENHARIA CIVIL - Diurno,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Poderia tirar o professor x,O Excel
5/26/2020 18:06:43,Sim,ENGENHARIA CIVIL - Diurno,Mais ou menos insatisfeito,Mais ou menos insatisfeito,"Nem satisfeito, nem insatisfeito",Mais ou menos insatisfeito,Mais ou menos insatisfeito,Mais ou menos insatisfeito,Mais ou menos insatisfeito,Mais ou menos insatisfeito,Mais ou menos insatisfeito,Muito insatisfeito,Muito insatisfeito,Mais ou menos insatisfeito,Mais ou menos insatisfeito,"Nem satisfeito, nem insatisfeito","Nem satisfeito, nem insatisfeito",Muito rígido para pouca didática ,
5/26/2020 18:24:11,Sim,ESTATÍSTICA - Diurno,Mais ou menos satisfeito,Mais ou menos satisfeito,Muito insatisfeito,Muito insatisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Muito insatisfeito,"Nem satisfeito, nem insatisfeito","Nem satisfeito, nem insatisfeito",Muito insatisfeito,Mais ou menos satisfeito,Muito satisfeito,Muito satisfeito,Mais ou menos insatisfeito,,
5/26/2020 18:30:48,Sim,ESTATÍSTICA - Diurno,"Nem satisfeito, nem insatisfeito","Nem satisfeito, nem insatisfeito","Nem satisfeito, nem insatisfeito",Mais ou menos insatisfeito,Mais ou menos insatisfeito,Muito insatisfeito,Mais ou menos insatisfeito,Mais ou menos insatisfeito,Mais ou menos insatisfeito,Mais ou menos insatisfeito,Mais ou menos insatisfeito,Mais ou menos insatisfeito,Mais ou menos insatisfeito,Mais ou menos insatisfeito,"Nem satisfeito, nem insatisfeito",,
5/26/2020 18:39:35,Sim,FÍSICA (BAC) - Diurno,Mais ou menos satisfeito,Mais ou menos satisfeito,"Nem satisfeito, nem insatisfeito",,Muito satisfeito,Muito satisfeito,"Nem satisfeito, nem insatisfeito","Nem satisfeito, nem insatisfeito","Nem satisfeito, nem insatisfeito","Nem satisfeito, nem insatisfeito","Nem satisfeito, nem insatisfeito","Nem satisfeito, nem insatisfeito",Mais ou menos satisfeito,"Nem satisfeito, nem insatisfeito","Nem satisfeito, nem insatisfeito",,
5/26/2020 18:54:01,Sim,FÍSICA (LIC) - Diurno,Muito satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,"Nem satisfeito, nem insatisfeito",Muito satisfeito,Muito satisfeito,,
5/26/2020 19:36:24,Sim,ENGENHARIA CIVIL - Diurno,Mais ou menos insatisfeito,"Nem satisfeito, nem insatisfeito",Mais ou menos insatisfeito,Mais ou menos insatisfeito,Mais ou menos insatisfeito,Mais ou menos insatisfeito,Mais ou menos insatisfeito,Mais ou menos insatisfeito,"Nem satisfeito, nem insatisfeito",Mais ou menos insatisfeito,Mais ou menos insatisfeito,Mais ou menos insatisfeito,"Nem satisfeito, nem insatisfeito","Nem satisfeito, nem insatisfeito",Mais ou menos insatisfeito,,
5/26/2020 20:50:51,Sim,ENGENHARIA CIVIL - Diurno,"Nem satisfeito, nem insatisfeito",Mais ou menos satisfeito,Mais ou menos insatisfeito,Mais ou menos insatisfeito,Mais ou menos insatisfeito,Mais ou menos insatisfeito,Mais ou menos insatisfeito,Mais ou menos insatisfeito,Mais ou menos insatisfeito,Mais ou menos insatisfeito,Mais ou menos insatisfeito,"Nem satisfeito, nem insatisfeito","Nem satisfeito, nem insatisfeito","Nem satisfeito, nem insatisfeito","Nem satisfeito, nem insatisfeito",,
5/26/2020 21:02:51,Sim,ENGENHARIA CIVIL - Diurno,Mais ou menos satisfeito,Mais ou menos satisfeito,Muito satisfeito,"Nem satisfeito, nem insatisfeito",Muito satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Muito satisfeito,Muito satisfeito,Trazer linguagens de programação mais usuais,As noções básicas desde o início do curso ajudaram muito! Principalmente em Excel.
5/26/2020 22:34:06,Sim,FÍSICA (LIC) - Diurno,Mais ou menos satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,"Nem satisfeito, nem insatisfeito","Nem satisfeito, nem insatisfeito",Mais ou menos satisfeito,Mais ou menos satisfeito,"Nem satisfeito, nem insatisfeito",Mais ou menos satisfeito,Pouco conteúdo para ter uma base sólida.,A dedicação do professor.
5/26/2020 22:34:20,Sim,FÍSICA (LIC) - Diurno,Mais ou menos satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,"Nem satisfeito, nem insatisfeito","Nem satisfeito, nem insatisfeito",Mais ou menos satisfeito,Mais ou menos satisfeito,"Nem satisfeito, nem insatisfeito",Mais ou menos satisfeito,Pouco conteúdo para ter uma base sólida.,A dedicação do professor.
5/26/2020 22:40:31,Sim,ENGENHARIA CIVIL - Diurno,Muito satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Muito satisfeito,Mais ou menos satisfeito,,
5/26/2020 22:44:02,Sim,ENGENHARIA CIVIL - Diurno,"Nem satisfeito, nem insatisfeito","Nem satisfeito, nem insatisfeito",Muito satisfeito,Muito satisfeito,"Nem satisfeito, nem insatisfeito",Mais ou menos satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,,
5/27/2020 0:09:14,Sim,ESTATÍSTICA - Diurno,"Nem satisfeito, nem insatisfeito",Mais ou menos satisfeito,Mais ou menos satisfeito,Mais ou menos insatisfeito,"Nem satisfeito, nem insatisfeito",Mais ou menos insatisfeito,Mais ou menos insatisfeito,Mais ou menos satisfeito,Mais ou menos insatisfeito,"Nem satisfeito, nem insatisfeito","Nem satisfeito, nem insatisfeito",Mais ou menos insatisfeito,Muito insatisfeito,Muito insatisfeito,"Nem satisfeito, nem insatisfeito",,
5/27/2020 9:36:37,Sim,FÍSICA (LIC) - Diurno,Mais ou menos satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,"Nem satisfeito, nem insatisfeito","Nem satisfeito, nem insatisfeito",Mais ou menos satisfeito,Mais ou menos satisfeito,"Nem satisfeito, nem insatisfeito",Mais ou menos satisfeito,Pouco conteúdo para ter uma base sólida.,A dedicação do professor.
5/27/2020 12:27:25,Sim,ESTATÍSTICA - Diurno,Muito satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Melhorias quanto aos pc´s do laboratório.,O professor e os monitores com excelente didática e atenção ao aluno.
5/27/2020 20:24:22,Sim,ESTATÍSTICA - Diurno,"Nem satisfeito, nem insatisfeito","Nem satisfeito, nem insatisfeito","Nem satisfeito, nem insatisfeito",Mais ou menos insatisfeito,"Nem satisfeito, nem insatisfeito","Nem satisfeito, nem insatisfeito","Nem satisfeito, nem insatisfeito","Nem satisfeito, nem insatisfeito","Nem satisfeito, nem insatisfeito","Nem satisfeito, nem insatisfeito","Nem satisfeito, nem insatisfeito","Nem satisfeito, nem insatisfeito",Mais ou menos satisfeito,"Nem satisfeito, nem insatisfeito","Nem satisfeito, nem insatisfeito",,
5/27/2020 21:53:29,Sim,FÍSICA (BAC) - Diurno,Mais ou menos satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Muito satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Muito satisfeito,Mais ou menos satisfeito,"Nem satisfeito, nem insatisfeito",Muito satisfeito,Mais ou menos satisfeito,Muito satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,,A forma de mostrar a importância do estudo da matéria nas diversas áreas do conhecimento.
5/27/2020 22:09:24,Sim,ENGENHARIA CIVIL - Diurno,"Nem satisfeito, nem insatisfeito",Mais ou menos insatisfeito,Mais ou menos insatisfeito,Mais ou menos insatisfeito,Mais ou menos insatisfeito,"Nem satisfeito, nem insatisfeito",Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,"Nem satisfeito, nem insatisfeito",Mais ou menos satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,,
5/28/2020 17:14:07,Sim,ESTATÍSTICA - Diurno,Mais ou menos satisfeito,Mais ou menos satisfeito,"Nem satisfeito, nem insatisfeito",Mais ou menos insatisfeito,Mais ou menos satisfeito,"Nem satisfeito, nem insatisfeito",Mais ou menos insatisfeito,Mais ou menos insatisfeito,"Nem satisfeito, nem insatisfeito","Nem satisfeito, nem insatisfeito","Nem satisfeito, nem insatisfeito","Nem satisfeito, nem insatisfeito","Nem satisfeito, nem insatisfeito","Nem satisfeito, nem insatisfeito",Mais ou menos insatisfeito,,
5/28/2020 21:30:09,Sim,ENGENHARIA CIVIL - Diurno,"Nem satisfeito, nem insatisfeito",Mais ou menos insatisfeito,Muito insatisfeito,"Nem satisfeito, nem insatisfeito","Nem satisfeito, nem insatisfeito",Mais ou menos insatisfeito,"Nem satisfeito, nem insatisfeito",Mais ou menos insatisfeito,Mais ou menos insatisfeito,"Nem satisfeito, nem insatisfeito",Mais ou menos insatisfeito,Mais ou menos insatisfeito,"Nem satisfeito, nem insatisfeito",Mais ou menos satisfeito,Mais ou menos satisfeito,"Os primeiros assuntos teóricos referentes à introdução da computação é interessante porém não deveríamos perder muito tempo nisso. Pra mim o mais relevante seria uma introdução ao Excel, mas ainda foi muito básico. Porém, achei completamente irrelevante o estudo da programação no matlab, pois é algo raramente usado durante e após nosso curso de engenharia civil.","É interessante entender mais ou menos como funciona a programação, mesmo que não nos seja muito útil. "
5/29/2020 9:38:58,Sim,ENGENHARIA DE PETRÓLEO - Diurno,Muito satisfeito,Muito satisfeito,Mais ou menos insatisfeito,Muito insatisfeito,Mais ou menos insatisfeito,Muito insatisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Muito insatisfeito,Mais ou menos satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Mais ou menos insatisfeito,"Existe uma necessidade cada vez maior que o engenheiro domine a área da programação. Diante disso, é necessário que a cadeira de ICC ofereça o desenvolvimento básico para o aluno por si só procurar desenvolver sua aprendizagem nesta área, porém acredito que a cadeira desenvolva muito pouco e não transmite os conhecimentos básicos necessários para engatar nesse mundo da programação. ",
5/29/2020 9:42:03,Sim,ENGENHARIA DE PETRÓLEO - Diurno,Mais ou menos insatisfeito,Mais ou menos insatisfeito,Mais ou menos insatisfeito,Mais ou menos insatisfeito,Mais ou menos insatisfeito,Mais ou menos insatisfeito,Mais ou menos insatisfeito,Mais ou menos insatisfeito,Mais ou menos insatisfeito,Mais ou menos insatisfeito,Mais ou menos insatisfeito,Mais ou menos insatisfeito,Mais ou menos insatisfeito,Mais ou menos insatisfeito,Mais ou menos insatisfeito,,
5/29/2020 9:43:33,Sim,ENGENHARIA DE PETRÓLEO - Diurno,Mais ou menos satisfeito,"Nem satisfeito, nem insatisfeito",Mais ou menos satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Mais ou menos satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Mais ou menos satisfeito,Sem resposta,Sem resposta
5/29/2020 9:46:21,Sim,ENGENHARIA DE PETRÓLEO - Diurno,Muito insatisfeito,Muito insatisfeito,"Nem satisfeito, nem insatisfeito","Nem satisfeito, nem insatisfeito",Mais ou menos satisfeito,Mais ou menos satisfeito,Muito satisfeito,Muito satisfeito,"Nem satisfeito, nem insatisfeito","Nem satisfeito, nem insatisfeito","Nem satisfeito, nem insatisfeito",Mais ou menos satisfeito,Muito insatisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Deveria ser mais completa principalmente na parte de programação já que só vemos MATLAB.,O ponto positivo foi a quantidade de exercícios realizados e ajudaram na aprendizagem
5/29/2020 9:55:37,Sim,ENGENHARIA DE PETRÓLEO - Diurno,Mais ou menos insatisfeito,Muito insatisfeito,Mais ou menos insatisfeito,Mais ou menos insatisfeito,Mais ou menos insatisfeito,Mais ou menos insatisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,"Nem satisfeito, nem insatisfeito","Nem satisfeito, nem insatisfeito","Nem satisfeito, nem insatisfeito","Nem satisfeito, nem insatisfeito",Mais ou menos satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,"Tornar a disciplina mais padrão, pois cada professor ensina uma coisa diferente: python, planilha excel, matlab, portugol (até criar um jogo). Na minha visão para cursos de engenharia seria importante o excel e python.",A disponibilidade do professor.
5/29/2020 10:29:12,Sim,ENGENHARIA CIVIL - Diurno,Mais ou menos insatisfeito,Mais ou menos insatisfeito,Mais ou menos insatisfeito,Mais ou menos insatisfeito,Muito insatisfeito,Muito insatisfeito,"Nem satisfeito, nem insatisfeito",Mais ou menos insatisfeito,Mais ou menos insatisfeito,Mais ou menos insatisfeito,Mais ou menos insatisfeito,"Nem satisfeito, nem insatisfeito",Muito insatisfeito,Mais ou menos satisfeito,"Nem satisfeito, nem insatisfeito",,
5/29/2020 10:36:34,Sim,ENGENHARIA DE PETRÓLEO - Diurno,Muito satisfeito,Muito satisfeito,Muito satisfeito,Mais ou menos satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Mais ou menos satisfeito,Muito satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,,
5/29/2020 10:55:50,Sim,ENGENHARIA DE PETRÓLEO - Diurno,Muito satisfeito,Muito satisfeito,Muito satisfeito,,Muito satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Não ,
5/29/2020 10:59:34,Sim,ENGENHARIA DE PETRÓLEO - Diurno,Mais ou menos satisfeito,Mais ou menos satisfeito,Muito satisfeito,"Nem satisfeito, nem insatisfeito","Nem satisfeito, nem insatisfeito","Nem satisfeito, nem insatisfeito",Muito satisfeito,Muito satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,,
5/29/2020 11:00:25,Sim,ENGENHARIA DE PETRÓLEO - Diurno,Muito satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,"Nem satisfeito, nem insatisfeito",Mais ou menos insatisfeito,"Nem satisfeito, nem insatisfeito","Nem satisfeito, nem insatisfeito","Nem satisfeito, nem insatisfeito",Mais ou menos satisfeito,Muito satisfeito,Mais ou menos satisfeito,"Nem satisfeito, nem insatisfeito",,
5/29/2020 11:05:31,Sim,ENGENHARIA DE PETRÓLEO - Diurno,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Mais ou menos insatisfeito,,Trabalho em equipe
5/29/2020 11:38:47,Sim,ENGENHARIA DE PETRÓLEO - Diurno,Mais ou menos satisfeito,"Nem satisfeito, nem insatisfeito",Mais ou menos satisfeito,Mais ou menos satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Muito satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,"Nem satisfeito, nem insatisfeito",,
5/29/2020 11:46:56,Sim,ENGENHARIA DE PETRÓLEO - Diurno,Muito satisfeito,"Nem satisfeito, nem insatisfeito",Mais ou menos satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,"Nem satisfeito, nem insatisfeito",Mais ou menos satisfeito,"Nem satisfeito, nem insatisfeito","Nem satisfeito, nem insatisfeito",,
5/29/2020 11:51:15,Sim,ENGENHARIA DE PETRÓLEO - Diurno,Mais ou menos satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Muito satisfeito,Muito satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Mais ou menos satisfeito,Muito satisfeito,Muito satisfeito,,
5/29/2020 12:27:37,Sim,ENGENHARIA DE PETRÓLEO - Diurno,Mais ou menos satisfeito,Mais ou menos satisfeito,"Nem satisfeito, nem insatisfeito","Nem satisfeito, nem insatisfeito",Mais ou menos satisfeito,Mais ou menos satisfeito,Muito satisfeito,Mais ou menos satisfeito,Muito satisfeito,Muito satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,"Nem satisfeito, nem insatisfeito","Nem satisfeito, nem insatisfeito",Mais ou menos satisfeito,Ter mais aulas práticas e mais monitores,O método da Professora
5/29/2020 12:38:12,Sim,ENGENHARIA DE PETRÓLEO - Diurno,Mais ou menos satisfeito,Mais ou menos satisfeito,"Nem satisfeito, nem insatisfeito","Nem satisfeito, nem insatisfeito",Mais ou menos satisfeito,Mais ou menos satisfeito,Muito satisfeito,Mais ou menos satisfeito,Muito satisfeito,Muito satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,"Nem satisfeito, nem insatisfeito","Nem satisfeito, nem insatisfeito",Mais ou menos satisfeito,Ter mais aulas práticas e mais monitores,O método da Professora
5/29/2020 13:03:28,Sim,ENGENHARIA DE PETRÓLEO - Diurno,Muito satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Muito satisfeito,Muito satisfeito,Mais ou menos satisfeito,"Nem satisfeito, nem insatisfeito",Mais ou menos satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Muito satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,,
5/29/2020 14:41:10,Sim,ENGENHARIA DE PETRÓLEO - Diurno,Mais ou menos satisfeito,"Nem satisfeito, nem insatisfeito",Mais ou menos satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Mais ou menos insatisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,,
5/29/2020 14:56:17,Sim,ENGENHARIA DE PETRÓLEO - Diurno,Muito satisfeito,"Nem satisfeito, nem insatisfeito",Muito insatisfeito,Muito insatisfeito,Muito satisfeito,Muito insatisfeito,Mais ou menos insatisfeito,Muito insatisfeito,Muito insatisfeito,Mais ou menos insatisfeito,Muito insatisfeito,"Nem satisfeito, nem insatisfeito",Muito satisfeito,Muito satisfeito,"Nem satisfeito, nem insatisfeito",,
5/29/2020 17:17:36,Sim,FÍSICA (BAC) - Diurno,Mais ou menos insatisfeito,"Nem satisfeito, nem insatisfeito","Nem satisfeito, nem insatisfeito","Nem satisfeito, nem insatisfeito","Nem satisfeito, nem insatisfeito","Nem satisfeito, nem insatisfeito",Muito satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,"Eu paguei essa disciplina na terceira tentativa, a primeira foi com um professor que me fez chorar no primeiro mês de faculdade, professor x, ele não sabe falar com as pessoas, não é um bom profissional, dizia que queria ajudar mas so humilhava a pessoa, não aprendi nada com ele. Assumo que da segunda vez que paguei, foi com professor z, era uma turma a noite, tava difícil para mim me dedicar, foi culpa minha. Da terceira vez foi com professor y e uma professora b, perfeitos, sem defeitos algum, aprendi direitinho, aposto que se tivesse pago com eles eu estaria satisfeita de primeira, sabe qual foi a diferença também? Que era PYTHON muito melhor que MATLAB, apesar de não ter muitas diferenças na linguagem em sí, a funcionalidade e facilidade que Python trás é muito boa. Resumindo, o problema foi o professor x...","Aprendi que com dedicação e ajuda eu posso aprender a programar, devo isso muito aos meus amigos de CC, obrigada por existirem <3"
5/29/2020 18:25:59,Sim,ENGENHARIA DE PETRÓLEO - Diurno,Muito satisfeito,"Nem satisfeito, nem insatisfeito",Muito insatisfeito,Muito insatisfeito,Muito satisfeito,Muito insatisfeito,Mais ou menos insatisfeito,Muito insatisfeito,Muito insatisfeito,Mais ou menos insatisfeito,Muito insatisfeito,"Nem satisfeito, nem insatisfeito",Muito satisfeito,Muito satisfeito,"Nem satisfeito, nem insatisfeito",,
5/29/2020 21:33:10,Sim,ENGENHARIA DE PETRÓLEO - Diurno,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,"Nem satisfeito, nem insatisfeito","Nem satisfeito, nem insatisfeito","Nem satisfeito, nem insatisfeito","Nem satisfeito, nem insatisfeito","A forma como a disciplina é lecionada não é suficiente para dar ao aluno uma nova habilidade computacional ou, pelo menos, acrescentar em seus aprendizados na área. É importante que o aluno durante o curso de graduação obtenha o nível básico de programação computacional, bem como, conhecimentos básicos de computação.",
5/29/2020 22:46:22,Sim,ENGENHARIA DE PETRÓLEO - Diurno,"Nem satisfeito, nem insatisfeito",Muito insatisfeito,Muito satisfeito,Mais ou menos insatisfeito,Mais ou menos satisfeito,Muito satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Muito satisfeito,"Nem satisfeito, nem insatisfeito",Mais ou menos satisfeito,Mais ou menos satisfeito,"Se possível, disponibilizar mais disciplinas de computação, programação e afins para todas as engenharias, apenas ICC não ajuda a se desenvolver como profissionais",Monitoria competente e muito bem preparado 
