Timestamp,"Concorda que está suficientemente informado(a) a respeito da pesquisa que será realizada e concorda de livre e espontânea vontade em participar, como participante ?",Qual o seu curso de graduação? (UFCG - Polo na Sede),Aspectos relacionados à disciplina [Relevância desta disciplina para o desenvolvimento profissional/pessoal.],Aspectos relacionados à disciplina [Relação desta disciplina com as demais do curso.],Aspectos relacionados à disciplina [Organização do plano da disciplina.],Aspectos relacionados à disciplina [Indicação de textos e de outros materiais de estudo.],Aspectos relacionados à disciplina [Contribuição da disciplina para o desenvolvimento da sua capacidade de aprender e atualizar-se permanentemente.],Aspectos relacionados à disciplina [Contribuição da disciplina para suprir as necessidades básicas computacionais requeridas para minha formação.],Ação de ensino do professor [Clareza no desenvolvimento do conteúdo.],Ação de ensino do professor [Procedimentos didáticos.],Ação de ensino do professor [Reflexão sobre os resultados da atividades de avaliação desta disciplina.],Ação de ensino do professor [Contribuição para um ambiente favorável à aprendizagem.],Ação de ensino do professor [Aproveitamento do tempo da aula.],Autoavaliação dos alunos [Utilização dos materiais de estudo indicados.],Autoavaliação dos alunos [Motivação para aprender mais.],Autoavaliação dos alunos [Contribuição como aluno para um ambiente favorável à aprendizagem.],Autoavaliação dos alunos [Contribuição da turma para um ambiente favorável à aprendizagem..],Alguma crítica que queira mencionar ao processo de aprendizagem desta disciplina? Forneça apenas comentários que motivem mudanças.,Você pode destacar algo que percebeu como positivo para o seu aprendizado durante o processo de aprendizagem na disciplina?
5/26/2020 10:33:50,Sim,ENGENHARIA CIVIL - Diurno,Muito insatisfeito,Mais ou menos insatisfeito,Muito satisfeito,Mais ou menos satisfeito,Muito insatisfeito,Muito insatisfeito,"Nem satisfeito, nem insatisfeito",Mais ou menos satisfeito,Muito insatisfeito,Mais ou menos insatisfeito,Mais ou menos insatisfeito,,,,,,
5/26/2020 10:36:54,Sim,ENGENHARIA CIVIL - Diurno,Mais ou menos satisfeito,Mais ou menos insatisfeito,Muito satisfeito,Muito satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Muito satisfeito,Mais ou menos satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Mais ou menos satisfeito,Muito satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,,
5/26/2020 11:14:03,Sim,ENGENHARIA CIVIL - Diurno,Muito satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Mais ou menos insatisfeito,Mais ou menos insatisfeito,Mais ou menos insatisfeito,Mais ou menos insatisfeito,"Na minha opinião, o ensino de disciplinas de programação para a engenharia é de fundamental importância, porém, devia ser ensinado um modelo de linguagem mais atual, pois o modelo que é ensinado (fortran) não é mais utilizado.",A visão de programação.
5/26/2020 11:16:20,Sim,ENGENHARIA CIVIL - Diurno,Mais ou menos satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Mais ou menos insatisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,"Nem satisfeito, nem insatisfeito",Mais ou menos insatisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,,
5/26/2020 11:28:38,Sim,ENGENHARIA CIVIL - Diurno,"Nem satisfeito, nem insatisfeito","Nem satisfeito, nem insatisfeito","Nem satisfeito, nem insatisfeito",Mais ou menos insatisfeito,Mais ou menos insatisfeito,"Nem satisfeito, nem insatisfeito",Muito satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,"Nem satisfeito, nem insatisfeito",Mais ou menos satisfeito,Mais ou menos insatisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,,
5/26/2020 11:30:03,Sim,ENGENHARIA CIVIL - Diurno,Muito insatisfeito,"Nem satisfeito, nem insatisfeito",Muito insatisfeito,Mais ou menos insatisfeito,Mais ou menos insatisfeito,"Nem satisfeito, nem insatisfeito","Nem satisfeito, nem insatisfeito",Muito insatisfeito,Muito insatisfeito,Mais ou menos insatisfeito,"Nem satisfeito, nem insatisfeito","Nem satisfeito, nem insatisfeito",Muito insatisfeito,"Nem satisfeito, nem insatisfeito",Mais ou menos satisfeito,Apenas uma crítica em relação ao Professor x. Extremamente ignorante e com uma forma avaliativa ilógica. ,
5/26/2020 11:45:13,Sim,ENGENHARIA CIVIL - Diurno,Mais ou menos satisfeito,"Nem satisfeito, nem insatisfeito",Muito insatisfeito,Muito insatisfeito,"Nem satisfeito, nem insatisfeito","Nem satisfeito, nem insatisfeito",Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,"Nem satisfeito, nem insatisfeito","Nem satisfeito, nem insatisfeito","Nem satisfeito, nem insatisfeito","Nem satisfeito, nem insatisfeito",,
5/26/2020 11:51:44,Sim,ENGENHARIA CIVIL - Diurno,"Nem satisfeito, nem insatisfeito",Mais ou menos insatisfeito,"Nem satisfeito, nem insatisfeito",Muito insatisfeito,Muito insatisfeito,"Nem satisfeito, nem insatisfeito","Nem satisfeito, nem insatisfeito","Nem satisfeito, nem insatisfeito","Nem satisfeito, nem insatisfeito","Nem satisfeito, nem insatisfeito","Nem satisfeito, nem insatisfeito","Nem satisfeito, nem insatisfeito","Nem satisfeito, nem insatisfeito","Nem satisfeito, nem insatisfeito","Nem satisfeito, nem insatisfeito",,
5/26/2020 12:51:44,Sim,ENGENHARIA CIVIL - Diurno,"Nem satisfeito, nem insatisfeito",Mais ou menos insatisfeito,Mais ou menos insatisfeito,Mais ou menos insatisfeito,Muito insatisfeito,Muito insatisfeito,Mais ou menos insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Mais ou menos insatisfeito,"Nem satisfeito, nem insatisfeito","Nem satisfeito, nem insatisfeito",Mais ou menos insatisfeito,"A disciplina poderia abordar programaçao mais avançada inserida em contextos mais úteis aos cursos, ao invés de ser algo muito abrangente e genérico.",
5/26/2020 12:55:23,Sim,ENGENHARIA CIVIL - Diurno,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Mais ou menos insatisfeito,Muito insatisfeito,Mais ou menos insatisfeito,Mais ou menos insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Mais ou menos insatisfeito,Mais ou menos satisfeito,"Nem satisfeito, nem insatisfeito",Mais ou menos satisfeito,"Nem satisfeito, nem insatisfeito","Devido a forma que é ministrada, acredito que acaba se tornando uma disciplina solta no meio da grade curricular, além de não ter o conteúdo passado da melhor maneira possível, tornando o estudo monótono, e em determinados momentos de difícil compreensão.","Aprendi a utilizar o programa excel, que acredito ser importante para minha formação, porém o restante da disciplina não achei que foi produtiva"
